Краткое наименование,Полное наименование,ИНН,КПП,ОКПО,ОГРН,
АО "Азот-Взрыв",Акционерное общество "Азот-Взрыв",7727218041,772801001,58995884,1027700058506
АО "Атлас Копко",Акционерное общество "Атлас Копко",7710218759,504701001,45857301,1027739719336
АО "ВА Курган",Акционерное общество "ВА Курган",4501118145,450101001,78730722,1064501000475
АО "ВЗМ",Акционерное общество "Владимирский завод Металлорукавов",3328441019,332801001,93545637,1063328003584
АО "ГОТЭК",Акционерное общество "ГОТЭК",4633000037,463350001,01597129,1024601213757
АО "Гормаш",Акционерное общество "Белгородский завод горного машиностроения",3124013819,312301001,,1023101645522
АО "Гортехмаш-заводы",Акционерное общество "Гортехмаш-заводы",2466072879,246601001,49690737,
АО "ДПД РУС",АКЦИОНЕРНОЕ ОБЩЕСТВО "ДПД РУС",7713215523,774850001,18913296,1027739074142
АО "ДХЛ Интернешнл",Акционерное общество "ДХЛ Интернешнл",7707033437,774850001,178782,1027739279920
АО "ЗАВОД КРАСНЫЙ ЯКОРЬ",АКЦИОНЕРНОЕ ОБЩЕСТВО "ЗАВОД КРАСНЫЙ ЯКОРЬ",5257005049,525701001,00165735,1025202391466
АО "ЗАВОД ПИРС",Акционерное общество "ЗАВОД ПИРС",4704003654,470401001,08620624,1024700874186
АО "ЗКО",Акционерное общество "Завод котельного оборудования",3122503825,312201001,71469226,1043106500777
АО "ИНТЕРХОЛДИНГ",АКЦИОНЕРНОЕ ОБЩЕСТВО "ИНТЕРХОЛДИНГ",4632279918,463201001,81758629,1214600004211
АО "Интехсервис",Акционерное общество "Интехсервис",3123133006,312301001,93151097,1063123077380
АО "КФТТ",Акционерное общество "Курская фабрика технических тканей",4630012490,463201001,00320934,1024600970184
АО "КЭНПО-Трейд",Акционерное общество "КЭНПО-Трейд",6672245845,667201001,82796046,1076672035186
АО "Квантум",Акционерное общество "Квантум",7825098536,780101001,45546989,1027809170201
АО "Конекрейнс Демаг Рус",Акционерное общество "Конекрейнс Демаг Рус",7809007309,781001001,27494208,1027810268749
АО "ЛАМА",Акционерное общество "ЛАМА",2127017009,212001001,24357994,1022100972442
АО "ЛОиП",Акционерное общество "Лабораторное Оборудование и Приборы",7804057754,781101001,44330709,1027802511780
АО "МЕТТЛЕР-ТОЛЕДО ВОСТОК",Акционерное общество "МЕТТЛЕР-ТОЛЕДО ВОСТОК",7705125499,770801001,45862615,1027700278110
АО "МК ЦЭТИ",Акционерное общество "Московский Комбинат Центрэнерготеплоизоляция",7707526714,771401001,74147782,1047796674892
АО "МК-М",Акционерное общество "Металлокомплект-М" ,7718134701,781145004,49914601,1027700288087
АО "МК-М" (г. Уфа),Акционерное общество "МЕТАЛЛОКОМПЛЕКТ-М",7718134701,027245001,49914600,1027700288087
АО "Металлоторг",Акционерное общество "Металлоторг",7118018781,997350001,55980712,1027101503990
АО "НПО "Техкранэнерго",Акционерное общество "Научно-производственное объединение "Техкранэнерго",3328401520,332801001,21064151,1023301463492
АО "ОГНЕУПОРИНВЕСТ",АКЦИОНЕРНОЕ ОБЩЕСТВО "ОГНЕУПОРИНВЕСТ",6671127398,667101001,14040635,1036603986847
АО "ОЗММ",Акционерное общество "Оскольский завод металлургического машиностроения",3128005590,312801001,05764765,1023102356881
АО "ОЗНА - Измерительные системы",Акционерное общество "ОЗНА - Измерительные системы",0265037983,026501001,64156863,1120265001207
АО "ОЛИМП И К",Акционерное общество "ОЛИМП И К",7811138059,781101001,35489747,1037821011810
АО "Октябрьское",Акционерное общество "Октябрьское",6820010695,682001001,,1026800885506
АО "Оутотек Санкт-Петербург",Акционерное общество "Оутотек Санкт-Петербург",7801004803,780101001,,1037800020840
АО "ПК "Пушкинская площадь",Акционерное общество "Полиграфический комплекс "Пушкинская площадь",7723193075,772301001,58116345,1027700155064
АО "ПО Физтех",Акционерное общество "Производственное объединение Физтех",7017262078,701701001,64115539,1107017009208
АО "ПРИН",Акционерное общество "ПРИН",7712032661,774301001,17400152,1027700457630
АО "РЕММА ЮГО-ЗАПАД",АКЦИОНЕРНОЕ ОБЩЕСТВО "РЕММА ЮГО-ЗАПАД",3128085941,312801001,92886678,1123128000412
АО "РЖД Логистика",Акционерное общество "РЖД Логистика",7708730092,770801001,68861216,1107746946340
